| Полное название теста       | Тип теста       | Параметр         | Всего тестов | Успешных тестов | Неуспешных тестов |
| .MP4CPL,                    | TEST STATICS    | 110              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 112              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 114              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 118              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 122              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 124              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 128              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 134              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 136              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 138              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | NT600            | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 140              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 142              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 144              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 146              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 148              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 150              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 152              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 154              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 156              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 158              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | NT650            | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 162              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 168              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 170              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 176              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 180              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 182              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 184              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 186              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 188              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 190              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 192              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 194              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 196              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 198              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 200              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 202              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 204              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 206              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 208              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 210              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | NT1200           | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 212              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 214              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 216              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 228              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 232              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | NT1250           | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 236              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 238              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 240              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 242              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 244              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 246              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 248              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 250              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 252              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 254              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 256              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 258              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | NT950            | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 260              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 262              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 264              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 266              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 268              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 270              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 272              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 274              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 276              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 278              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 280              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 282              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | NT1050           | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 284              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 286              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 288              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 290              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 292              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 294              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 296              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 298              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 300              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 302              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 304              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | 306              | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST STATICS    | FAIL             | 7            | 7               | 0                 |
